Predictor variable,Categorical,Sample average
bio1,false,141.53276539973788
bio10,false,196.43774574049803
bio11,false,91.1218872870249
bio12,false,575.5904325032766
bio13,false,116.69397116644824
bio14,false,1.3138925294888597
bio15,false,85.26867627785059
bio16,false,308.0262123197903
bio17,false,9.162516382699868
bio18,false,20.728047182175622
bio19,false,303.8427260812582
bio2,false,134.89711664482306
bio3,false,53.66710353866317
bio4,false,4172.855176933159
bio5,false,280.6572739187418
bio6,false,29.168414154652687
bio7,false,251.4888597640891
bio8,false,93.7300131061599
bio9,false,186.18152031454784
